#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AG8,dram_ck<2>,IOB,IO_L18P_22,OUTPUT,DIFF_SSTL18_II,22,,,,,,LOCATED,NO,NONE,
AG9,,,GND,,,,,,,,,,,,
AG10,dram_dm<6>,IOB,IO_L19P_22,OUTPUT,SSTL18_II,22,,,,,,LOCATED,YES,NONE,
AG11,dram_dq<39>,IOB,IO_L19N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AG12,epb_addr<3>,IOB,IO_L2N_A22_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AG13,epb_data<11>,IOB,IO_L1N_GC_D12_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AG14,,,VCCO_4,,,4,,,,,3.30,,,,
AG15,epb_addr<4>,IOB,IO_L5N_GC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AG16,epb_addr<8>,IOB,IO_L7N_GC_VRP_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AG17,,IOBS,IO_L9N_CC_GC_4,UNUSED,,4,,,,,,,,,
AG18,epb_addr<2>,IOB,IO_L6P_GC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AG19,,,GND,,,,,,,,,,,,
AG20,epb_addr<10>,IOB,IO_L4N_GC_VREF_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AG21,,IOBM,IO_L4P_GC_4,UNUSED,,4,,,,,,,,,
AG22,epb_data<8>,IOB,IO_L0P_GC_D15_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AG23,epb_addr<5>,IOB,IO_L1N_CC_A24_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AG24,,,GND,,,,,,,,,,,,
AG25,,IOBS,IO_L13N_21,UNUSED,,21,,,,,,,,,
AG26,,IOBS,IO_L14N_VREF_21,UNUSED,,21,,,,,,,,,
AG27,,IOBM,IO_L14P_21,UNUSED,,21,,,,,,,,,
AG28,adcmkid1_DI_p<7>,IOB,IO_L6P_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AG29,,,GND,,,,,,,,,,,,
